customer_id,customer_name,email,phone_number,city,registration_date,membership_type,loyalty_points
1,Shane Mcdonald,user1_browning.biz,574-376-7236,West Nicholas,2025-04-16,Regular,3192
2,Kim Bryan,user2_roberson.biz,185-260-3932,Lake Ryan,2024-10-01,Gold,2072
3,Dr. Robert Alvarado,user3_larson.com,821-023-2895,North Debramouth,2025-09-16,Platinum,4823
4,Patricia Reese,user4_watson-blake.com,881-364-2357,Josephfort,2024-07-18,Platinum,3562
5,Joshua Schwartz,user5_glover.com,072-141-9239,Owensfort,2024-03-07,Silver,2397
6,Thomas Green,user6_ingram.com,926-771-1125,Port Aaronbury,2024-09-26,Silver,1724
7,Jason Cohen,user7_young.com,558-832-0541,Port Raymondhaven,2023-09-12,Gold,2667
8,Brenda White,user8_bullock.com,095-286-9540,West Laurenburgh,2024-08-26,Silver,554
9,Cassidy Vasquez,user9_riley.com,955-440-9425,Ritaberg,2023-08-09,Platinum,1259
10,Jeremy Berry,user10_harris.biz,559-928-4802,Nicholsberg,2024-01-05,Regular,2559
11,Courtney Mann,user11_martinez-smith.com,173-062-8010,South Heatherville,2025-06-06,Regular,4035
12,Matthew Scott,user12_fletcher.com,902-358-4509,Johnsonmouth,2024-10-28,Regular,3670
13,Christine Ramirez,user13_molina.com,039-385-5917,Nathanburgh,2025-04-24,Silver,3328
14,Kimberly Jones,user14_willis.org,854-739-8208,Younghaven,2024-01-19,Platinum,2359
15,Randall Baker,user15_walker-jordan.org,660-181-1815,Lopezmouth,2026-02-15,Regular,3296
16,Teresa Fleming,user16_roberts.net,405-016-3474,Lake Robert,2025-04-09,Regular,2088
17,Christopher Ramirez,user17_pratt.com,767-622-9178,Jonesville,2026-01-19,Silver,3238
18,Steven Davis,user18_jackson.com,599-171-2571,Benjamintown,2025-08-24,Silver,4718
19,Matthew Castillo,user19_wright-white.net,574-496-9738,North Taylorville,2023-12-07,Gold,433
20,Hector Johnson,user20_jackson-williams.com,634-221-2416,North Anna,2023-10-03,Platinum,3225
21,April May,user21_robles.com,761-685-2284,East Marystad,2025-12-08,Gold,1601
22,Pamela Gibbs,user22_brown-miller.com,319-040-4244,Sullivanhaven,2025-04-25,Platinum,104
23,Sarah Mathews,user23_hall.com,630-248-5791,East Anthony,2025-10-04,Platinum,1736
24,Mario Jefferson,user24_mckay.com,912-455-2526,East Donnaport,2023-12-29,Silver,1063
25,Joseph Nguyen,user25_cruz.com,642-070-9732,East Kevinberg,2024-05-08,Regular,3978
26,David Carter,user26_horn.com,126-554-2200,Barbarastad,2023-07-21,Silver,3221
27,Robert Martinez,user27_myers.net,931-535-9734,Mccarthyshire,2024-04-25,Gold,2985
28,Kim Scott,user28_ramos-white.com,473-744-9346,Leonardshire,2023-07-23,Gold,1019
29,Ryan Guzman,user29_murphy.com,904-465-3584,Kevinfurt,2026-02-16,Regular,4536
30,Amy Miller,user30_young.org,231-729-9486,South Vincent,2025-01-30,Silver,3899
31,Rachel Davis DVM,user31_hernandez.com,031-228-1713,East Codyshire,2024-08-15,Regular,1684
32,Tyrone Stanley,user32_wilson.info,164-784-9593,Jacobside,2026-02-27,Regular,2618
33,Carla Schultz,user33_good.biz,006-038-4837,Lake James,2024-09-21,Platinum,2452
34,Catherine Shaw,user34_hunter-duffy.biz,236-974-5033,Kennethshire,2023-11-28,Regular,2670
35,James Miles,user35_gonzalez.com,848-379-5772,Bishopshire,2025-04-08,Silver,2437
36,Sandra Woods,user36_morris-jenkins.com,824-630-6047,Michaelfort,2023-12-25,Gold,1212
37,Candice Ramos,user37_macdonald.info,182-536-1178,West Michael,2025-06-19,Gold,2509
38,Brandon Sims,user38_parker.net,555-046-1509,Diazstad,2025-03-18,Silver,3588
39,Kirsten Duran,user39_torres-baldwin.com,839-559-9101,Danielville,2024-06-18,Platinum,3075
40,Richard Blackburn,user40_zimmerman.com,514-792-9952,Port Molly,2026-06-03,Silver,137
41,Michael Dean,user41_alvarez.com,466-731-9926,New Sarahville,2025-11-19,Regular,3881
42,Christopher Hunter,user42_stevenson.com,460-069-4361,Shepherdbury,2024-03-20,Regular,3835
43,Alexander Douglas,user43_lee-vance.info,902-835-4246,New Tina,2025-10-14,Gold,2007
44,Gabriella Guerra,user44_perkins.biz,696-956-0142,Lake Victorialand,2023-09-02,Gold,1670
45,Felicia Taylor,user45_cooper-hall.biz,754-238-9775,Walkerfort,2024-06-18,Regular,377
46,Mr. Ralph Yu DDS,user46_marshall.biz,457-768-6865,South Maryville,2024-08-22,Platinum,4739
47,Danny Mccormick,user47_doyle.biz,280-222-0129,North Ashley,2024-07-25,Regular,1191
48,Virginia Cooper,user48_williams.biz,283-476-5070,South Tonyatown,2024-09-22,Gold,1560
49,John Patrick,user49_page.com,991-454-9954,New Christopherburgh,2026-05-31,Silver,103
50,John Mays,user50_murray-flores.com,474-316-8980,West Seanshire,2024-06-02,Platinum,4358
51,Logan Brewer,user51_yang-mcintyre.com,345-862-7111,Johnsonland,2023-09-18,Platinum,1901
52,Mario Miller,user52_hodges-jackson.com,420-872-5115,East Deniseland,2024-02-15,Platinum,4110
53,James Fuller,user53_charles.com,676-547-9694,Zacharyfort,2024-12-15,Regular,2213
54,Jay Wilson,user54_nelson.com,245-625-2807,North Debra,2025-11-18,Gold,1504
55,Rebecca Rogers,user55_martinez.com,878-582-1440,Lake Daniel,2025-07-03,Gold,1262
56,Jessica Newman,user56_figueroa.com,854-817-4775,Hudsonmouth,2024-03-15,Regular,1419
57,Zachary Fletcher,user57_wheeler-whitaker.com,748-746-3764,East Alejandro,2025-03-26,Platinum,414
58,Jessica Haley,user58_rose.com,357-945-0183,Michaelland,2025-11-13,Gold,4688
59,Robin Allen,user59_thomas-campbell.com,056-384-5048,Port Nicolemouth,2024-01-21,Gold,292
60,Kaitlyn Ryan,user60_allen.com,084-005-6596,West Rachelfurt,2024-01-19,Regular,3338
61,Brenda Wright,user61_brown.com,193-752-5812,Richardstad,2026-06-25,Gold,4487
62,Meghan Johnson,user62_walker.net,018-183-0914,West Danieltown,2026-01-21,Silver,1592
63,Sarah Henry,user63_wilson.biz,857-164-7312,Lake Briana,2024-06-06,Silver,3815
64,William Franco,user64_james.net,664-663-1422,East Kennethchester,2024-06-01,Silver,4653
65,Mr. Jeffrey Moore,user65_fisher-morgan.com,316-058-8595,Lake Lisaland,2024-12-30,Gold,3258
66,Brian Walker,user66_weber-warner.com,911-036-8478,West Jeremy,2024-04-14,Regular,2961
67,Anthony Chavez,user67_brown-gibson.com,995-203-5118,Lake Robert,2026-01-26,Regular,1952
68,Brian Ramos,user68_franklin-burch.com,467-303-9668,Briantown,2026-04-27,Regular,4449
